Unnamed: 0,joburl,skill,designation,orgnization,experience,location,moredesc,salary,recruitername,recruiterdetails,jobpostingdate
10,https://www.naukri.com/job-listings-Assistant-Vice-President-Credit-Risk-Analytics-digital-Analytics-CareerNet-Consulting-Hyderabad-9-to-11-years-200919910470?src=jobsearchDesk&sid=15692605182591&xp=11&px=1,"SAS, Risk Analytics, Consulting, Web Analytics, Tableau, Data Analytics...",Assistant Vice President - Credit Risk Analytics/digital Analytics,CareerNet Consulting,9-11 yrs,Hyderabad,"  SAS, Risk Analytics, Consulting, Web Analytics, Tableau, Data Analytics... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 2 days ago ",2 days ago
11,https://www.naukri.com/job-listings-QA-Manual-Executive-TechKnowledgey-Pte-Ltd-Hyderabad-Bengaluru-0-to-5-years-230919003181?src=jobsearchDesk&sid=15692605182591&xp=12&px=1,"python, cucumber, defect tracking, test cases, manual testing, it...",QA Manual Executive,TechKnowledgey Pte Ltd,0-5 yrs,"Hyderabad, Bengaluru","  python, cucumber, defect tracking, test cases, manual testing, it... "," INR 13,00,000 - 23,00,000 PA.   ",  Parnika  ," Posted  by     Parnika    , Today ",Today
12,https://www.naukri.com/job-listings-Lead-Core-Infrastructure-ABC-Consultants-Pvt-Ltd-Hyderabad-5-to-9-years-220919901289?src=jobsearchDesk&sid=15692605182591&xp=13&px=1,"C, Unix system, web technologies, Go, Haskell, AWS, Python",Lead Core Infrastructure,ABC Consultants Pvt Ltd,5-9 yrs,Hyderabad,"  C, Unix system, web technologies, Go, Haskell, AWS, Python "," INR 15,00,000 - 30,00,000 PA.   ", , Posted     1 day ago ,1 day ago
13,https://www.naukri.com/job-listings-API-Developer-GSS-Infotech-Ltd-Hyderabad-3-to-8-years-230919009072?src=jobsearchDesk&sid=15692605182591&xp=14&px=1,"Java, Rest, Rest API, Microservices, Python, Mulesoft",API Developer,GSS Infotech Ltd,3-8 yrs,Hyderabad,"  Java, Rest, Rest API, Microservices, Python, Mulesoft "," INR 3,00,000 - 8,00,000 PA.   ",  Jairaj  ," Posted  by     Jairaj    , Few Hours Ago ",Few Hours Ago
14,https://www.naukri.com/job-listings-Trainee-data-Scientist-PS-Value-C-Consulting-Services-Private-Limited-Mumbai-Chennai-Hyderabad-0-to-5-years-210919004887?src=jobsearchDesk&sid=15692605182591&xp=15&px=1,"datamining, Data Scientist, Artificial Intelligence, Machine Learning...",Trainee-data Scientist- PS,Value C Consulting Services Private Limited,0-5 yrs,"Mumbai, Chennai, Hyderabad","  datamining, Data Scientist, Artificial Intelligence, Machine Learning... "," INR 7,50,000 - 9,00,000 PA.   ",  Pooja  ," Posted  by     Pooja    , 2 days ago ",2 days ago
15,https://www.naukri.com/job-listings-Full-Stack-Developer-hyderabad-5-To-7-Years-Maintec-Technologies-Private-Limited-Hyderabad-5-to-7-years-230919010106?src=jobsearchDesk&sid=15692605182591&xp=16&px=1,"Java, J2EE, Adobe, Spring, Full stack developer, Jenkins, NoSQL, Chennai...",Full Stack Developer_hyderabad_5 To 7 Years,Maintec Technologies Private Limited,5-7 yrs,Hyderabad,"  Java, J2EE, Adobe, Spring, Full stack developer, Jenkins, NoSQL, Chennai... ",  Not disclosed  ,  Nadiya  ," Posted  by     Nadiya    , Few Hours Ago ",Few Hours Ago
16,https://www.naukri.com/job-listings-Python-Developer-Angularjs-mvc-Syeta-Technologies-Solutions-Hyderabad-6-to-11-years-230919905457?src=jobsearchDesk&sid=15692605182591&xp=17&px=1,"AngularJS, Application Designing, Rest, Open Source, jQuery, PostgreSQL, JS...",Python Developer - Angularjs/mvc,Syeta Technologies & Solutions,6-11 yrs,Hyderabad,"  AngularJS, Application Designing, Rest, Open Source, jQuery, PostgreSQL, JS... ",  Not disclosed  ,  HR  ," Posted  by     HR    , Today ",Today
17,https://www.naukri.com/job-listings-Trainee-data-Scientist-RK-Value-C-Consulting-Services-Private-Limited-Chennai-Hyderabad-Pune-0-to-5-years-230919000255?src=jobsearchDesk&sid=15692605182591&xp=18&px=1,"datamining, Data Scientist, Artificial Intelligence, Machine Learning...",Trainee-data Scientist- RK,Value C Consulting Services Private Limited,0-5 yrs,"Chennai, Hyderabad, Pune","  datamining, Data Scientist, Artificial Intelligence, Machine Learning... "," INR 7,50,000 - 9,00,000 PA.   ",  Ravi  ," Posted  by     Ravi    , Today ",Today
18,https://www.naukri.com/job-listings-Senior-Software-Development-Engineer-Python-YOUR-HR-Hyderabad-5-to-9-years-230919007828?src=jobsearchDesk&sid=15692605182591&xp=19&px=1,"Software Development, Django, Web Technologies, Python",Senior Software Development Engineer - Python,YOUR HR,5-9 yrs,Hyderabad,"  Software Development, Django, Web Technologies, Python ",  Not disclosed  ,  RATI BATRA  ," Posted  by     RATI BATRA    , Few Hours Ago ",Few Hours Ago
19,https://www.naukri.com/job-listings-Hiring-For-Non-Voice-Process-in-MNC-Page-one-IT-solutions-Hyderabad-0-to-2-years-210919001191?src=jobsearchDesk&sid=15692605182591&xp=20&px=1,"Communication Skills, Java, Non Voice Process, .Net, Oracle DBA, Fresher...",Hiring For Non Voice  Process in MNC,Page one IT solutions,0-2 yrs,Hyderabad,"  Communication Skills, Java, Non Voice Process, .Net, Oracle DBA, Fresher... "," INR 2,00,000 - 3,50,000 PA.   ",  durga prasad  ," Posted  by     durga prasad    , 2 days ago ",2 days ago
20,https://www.naukri.com/job-listings-Hadoop-Bigdata-Developer-AIMBIX-CONSULTING-SERVICES-PRIVATE-LIMITED-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Noida-6-to-11-years-210919001959?src=jobsearchDesk&sid=15692605182591&xp=21&px=1,"Hive, Sqoop, Hadoop, Big Data, Oozie, Hdfs, Spark, Python",Hadoop & Bigdata Developer,AIMBIX CONSULTING  SERVICES PRIVATE LIMITED,6-11 yrs,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Noida","  Hive, Sqoop, Hadoop, Big Data, Oozie, Hdfs, Spark, Python "," INR 7,00,000 - 16,00,000 PA.   ",  Neha  ," Posted  by     Neha    , 2 days ago ",2 days ago
21,https://www.naukri.com/job-listings-Python-Scripting-Developer-2Coms-Consulting-Pvt-Ltd-Bengaluru-Hyderabad-4-to-9-years-230919008908?src=jobsearchDesk&sid=15692605182591&xp=22&px=1,"angular, python, java",Python Scripting Developer,2Coms Consulting Pvt Ltd.,4-9 yrs,"Bengaluru, Hyderabad","  angular, python, java ",  Not disclosed  ,  Vedavathi G U  ," Posted  by     Vedavathi G U    , Few Hours Ago ",Few Hours Ago
22,https://www.naukri.com/job-listings-Django-Python-Developer-Mykro-Technologies-Hyderabad-3-to-7-years-220919001124?src=jobsearchDesk&sid=15692605182591&xp=23&px=1,"css, python, django, postgresql, computer science, ms access, html...",Django Python Developer,Mykro Technologies,3-7 yrs,Hyderabad,"  css, python, django, postgresql, computer science, ms access, html... ",  Not disclosed  ,  Syed Abdul Raafay  ," Posted  by     Syed Abdul Raafay    , 1 day ago ",1 day ago
23,https://www.naukri.com/job-listings-Excellent-Opportunity-with-Ness-Technology-For-Linux-Administrator-hyd-NESS-TECHNOLOGIES-INDIA-PRIVATE-LIMITED-Hyderabad-7-to-11-years-190919009689?src=jobsearchDesk&sid=15692605182591&xp=24&px=1,"Jenkins, VMware, SUSE, Linux, Chef, NetBackup, Symantec Backup, Python",Excellent Opportunity with Ness Technology For Linux Administrator_hyd,NESS TECHNOLOGIES (INDIA) PRIVATE LIMITED,7-11 yrs,Hyderabad,"  Jenkins, VMware, SUSE, Linux, Chef, NetBackup, Symantec Backup, Python ",  Not disclosed  ,  Prashanth Arasappa  ," Posted  by     Prashanth Arasappa    , Today ",Today
24,https://www.naukri.com/job-listings-Data-Engineer-SureIT-Solutions-India-Pvt-Ltd-Hyderabad-Madhapur-2-to-7-years-270519005150?src=jobsearchDesk&sid=15692605182591&xp=25&px=1,"Data Science, Java, NoSQL, Python, Spark, Artificial Intelligence...",Data Engineer,SureIT Solutions India Pvt. Ltd.,2-7 yrs,Hyderabad(Madhapur),"  Data Science, Java, NoSQL, Python, Spark, Artificial Intelligence... ",  Not disclosed  ,  Now Hiring....  ," Posted  by       Now Hiring....    , Today ",Today
25,https://www.naukri.com/job-listings-Senior-Engineer-SSD-Validation-Top-Five-Semicon-Co-in-the-World-Mulya-Consulting-Hyderabad-6-to-9-years-050219006095?src=jobsearchDesk&sid=15692605182591&xp=26&px=1,"c++, python, c, sas, NVMe, NVM, systemc, ssd, system validation, oakgate...","Senior Engineer, SSD Validation (Top Five Semicon Co in the World)",Mulya Consulting,6-9 yrs,Hyderabad,"  c++, python, c, sas, NVMe, NVM, systemc, ssd, system validation, oakgate... ",  Not disclosed  ,  Mr. M.Udaya Bhaskar  ," Posted  by     Mr. M.Udaya Bhaskar    , 1 day ago ",1 day ago
26,https://www.naukri.com/job-listings-Data-Scientist-Prowess-Enterprise-India-Private-Ltd-Hyderabad-Visakhapatnam-5-to-10-years-170919004963?src=jobsearchDesk&sid=15692605182591&xp=27&px=1,"Software Development, Natural Language Processing, Computer Science...",Data Scientist,Prowess Enterprise ( India ) Private Ltd,5-10 yrs,"Hyderabad, Visakhapatnam","  Software Development, Natural Language Processing, Computer Science... ",  Not disclosed  ,  Teja Sudikonda / Sruthi N  ," Posted  by     Teja Sudikonda / Sruthi N    , Today ",Today
27,https://www.naukri.com/job-listings-Devops-Engineer-expertise-in-any-Scripting-unix-Shell-Scripting-perl-Oracle-India-Pvt-Ltd-Hyderabad-6-to-11-years-080819012279?src=jobsearchDesk&sid=15692605182591&xp=28&px=1,"Java, Linux, Ansible, MySQL, Oracle E - business Suite...",Devops Engineer (expertise in any Scripting (unix Shell Scripting/perl,Oracle India Pvt. Ltd.,6-11 yrs,Hyderabad,"  Java, Linux, Ansible, MySQL, Oracle E - business Suite... ",  Not disclosed  ,  Oracle Recruiting Team  ," Posted  by     Oracle Recruiting Team    , Few Hours Ago ",Few Hours Ago
28,https://www.naukri.com/job-listings-Opening-For-Python-odoo-Developer-Hyderabad-Big-Ideas-HR-Consulting-Private-Limited-Hyderabad-1-to-6-years-180919008975?src=jobsearchDesk&sid=15692605182591&xp=29&px=1,"python, odoo editor, odoo, python software engineer, python developer...",Opening For Python (odoo) Developer || Hyderabad,Big Ideas HR Consulting Private Limited,1-6 yrs,Hyderabad,"  python, odoo editor, odoo, python software engineer, python developer... "," INR 2,00,000 - 7,00,000 PA.   ",  Mr.Rajat Dubey  ," Posted  by     Mr.Rajat Dubey    , 2 days ago ",2 days ago
29,https://www.naukri.com/job-listings-SAP-Callidus-CPQ-Technical-Consultant-with-IT-Co-at-Hyderabad-Mumbai-C-P-CAREERS-PRIVATE-LIMITED-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Ahmedabad-Chandigarh-Mohali-2-to-7-years-180919012109?src=jobsearchDesk&sid=15692605182591&xp=30&px=1,"calliduscloud cpq, caliidus, sap, cpq, python, iron python...",SAP Callidus CPQ Technical Consultant with IT Co at Hyderabad & Mumbai,C P CAREERS PRIVATE LIMITED,2-7 yrs,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Ahmedabad, Chandigarh, Mohali","  calliduscloud cpq, caliidus, sap, cpq, python, iron python... "," INR 7,00,000 - 15,00,000 PA.   ",  Eduroof  ," Posted  by       Eduroof    , Today ",Today
30,https://www.naukri.com/job-listings-Python-Developer-PNR-Software-Solutions-Private-Limited-Hyderabad-3-to-8-years-030619501281?src=jobsearchDesk&sid=15692605182591&xp=31&px=1,"Unix, github, Debugging, telecom bss, JIRA, tools, Linux, TDD, web, Django,...",Python Developer,PNR Software Solutions Private Limited,3-8 yrs,Hyderabad,"  Unix, github, Debugging, telecom bss, JIRA, tools, Linux, TDD, web, Django,... ",  Not disclosed  , , Posted     2 days ago ,2 days ago
31,https://www.naukri.com/job-listings-Test-Engineer-Verification-Validation-Vishanz-Business-Services-Private-Limited-Bengaluru-Hyderabad-Pune-2-to-7-years-200919000450?src=jobsearchDesk&sid=15692605182591&xp=32&px=1,"Validation, Test Engineering, Java, C++, RTRT, C, ANT, Verification, Perl...",Test Engineer - Verification & Validation,Vishanz Business Services Private Limited,2-7 yrs,"Bengaluru, Hyderabad, Pune","  Validation, Test Engineering, Java, C++, RTRT, C, ANT, Verification, Perl... "," INR 4,00,000 - 9,00,000 PA. Based on current salary, releva...   ",  Priyanka  ," Posted  by     Priyanka    , 1 day ago ",1 day ago
32,https://www.naukri.com/job-listings-Test-Automation-Engineer-PrimeSoft-IP-Solutions-Pvt-Ltd-Bengaluru-Hyderabad-3-to-5-years-260819004324?src=jobsearchDesk&sid=15692605182591&xp=33&px=1,"Java, SOAP UI, Testng, API Testing, Grid, Javascript, Appium...",Test Automation  Engineer,PrimeSoft IP Solutions Pvt Ltd,3-5 yrs,"Bengaluru, Hyderabad","  Java, SOAP UI, Testng, API Testing, Grid, Javascript, Appium... ",  Not disclosed  ,  Deepta Mathur  ," Posted  by     Deepta Mathur    , Today ",Today
33,https://www.naukri.com/job-listings-Python-Developer-Grid-Logic-Software-Private-Limited-Hyderabad-2-to-5-years-040619502140?src=jobsearchDesk&sid=15692605182591&xp=34&px=1,"css, code, technical, software, developing, Recruitment, HTML;Javascript...",Python Developer,Grid Logic Software Private Limited,2-5 yrs,Hyderabad,"  css, code, technical, software, developing, Recruitment, HTML;Javascript... ",  Not disclosed  , , Posted     2 days ago ,2 days ago
34,https://www.naukri.com/job-listings-Senior-SSD-Firmware-Engineer-Top-Five-Semicon-Co-in-the-Worlld-Mulya-Consulting-Hyderabad-6-to-10-years-030219000227?src=jobsearchDesk&sid=15692605182591&xp=35&px=1,"c++, ufsii, ufs, bus analyzer, ssd, soc, realview, emmc, nvme, nand...",Senior SSD Firmware Engineer (Top Five Semicon Co in the Worlld),Mulya Consulting,6-10 yrs,Hyderabad,"  c++, ufsii, ufs, bus analyzer, ssd, soc, realview, emmc, nvme, nand... ",  Not disclosed  ,  Mr. M.Udaya Bhaskar  ," Posted  by     Mr. M.Udaya Bhaskar    , 1 day ago ",1 day ago
35,https://www.naukri.com/job-listings-Python-django-Developer-Full-Stack-Development-Rehlat-Online-Services-Hyderabad-3-to-6-years-260819901834?src=jobsearchDesk&sid=15692605182591&xp=36&px=1,"REST API, Azure, ElasticSearch, NoSQL, RDBMS, Django, Full Stack, AWS...",Python/django Developer - Full Stack Development,Rehlat Online Services,3-6 yrs,Hyderabad,"  REST API, Azure, ElasticSearch, NoSQL, RDBMS, Django, Full Stack, AWS... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 3 days ago ",3 days ago
36,https://www.naukri.com/job-listings-Python-Developer-Grid-Logic-Software-Private-Limited-Hyderabad-1-to-5-years-270319500935?src=jobsearchDesk&sid=15692605182591&xp=37&px=1,"development, gaming, code, technical, software, mobile, developing, it...",Python Developer,Grid Logic Software Private Limited,1-5 yrs,Hyderabad,"  development, gaming, code, technical, software, mobile, developing, it... ",  Not disclosed  , , Posted     2 days ago ,2 days ago
37,https://www.naukri.com/job-listings-Python-Developer-Grid-Logic-Software-Private-Limited-Hyderabad-2-to-5-years-040619502154?src=jobsearchDesk&sid=15692605182591&xp=38&px=1,"server, technical, software, html5, Technical documentation, ui, web...",Python Developer,Grid Logic Software Private Limited,2-5 yrs,Hyderabad,"  server, technical, software, html5, Technical documentation, ui, web... ",  Not disclosed  , , Posted     2 days ago ,2 days ago
38,https://www.naukri.com/job-listings-Python-Developer-Work-From-Home-Freelancer-Platinus-Technologies-Private-Limited-Delhi-NCR-Bengaluru-Hyderabad-Pune-Chennai-Mumbai-10-to-20-years-190919006944?src=jobsearchDesk&sid=15692605182591&xp=39&px=1,"Django, Python Developer",Python Developer- Work From Home Freelancer,Platinus Technologies Private Limited,10-20 yrs,"Delhi NCR, Bengaluru, Hyderabad, Pune, Chennai, Mumbai","  Django, Python Developer ",  Not disclosed  ,  Sruthi  ," Posted  by     Sruthi    , 4 days ago ",4 days ago
39,https://www.naukri.com/job-listings-Opening-For-Python-Developer-Hyderabad-Big-Ideas-HR-Consulting-Private-Limited-Hyderabad-1-to-6-years-180919008633?src=jobsearchDesk&sid=15692605182591&xp=40&px=1,"CSS, Python Developer, python software engineer, HTML, JSON, SVN...",Opening For Python Developer || Hyderabad,Big Ideas HR Consulting Private Limited,1-6 yrs,Hyderabad,"  CSS, Python Developer, python software engineer, HTML, JSON, SVN... "," INR 2,00,000 - 7,00,000 PA.   ",  Mr.Rajat Dubey  ," Posted  by     Mr.Rajat Dubey    , 2 days ago ",2 days ago
40,https://www.naukri.com/job-listings-Data-Science-Engineer-Python-AlgonoX-Technologies-Hyderabad-1-to-2-years-200919901441?src=jobsearchDesk&sid=15692605182591&xp=41&px=1,"Data Scientist, Artificial Intelligence, Data Management, AI...",Data Science Engineer - Python,AlgonoX Technologies,1-2 yrs,Hyderabad,"  Data Scientist, Artificial Intelligence, Data Management, AI... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 3 days ago ",3 days ago
41,https://www.naukri.com/job-listings-Data-Science-Trainer-Faculty-Naresh-I-Technologies-Hyderabad-5-to-10-years-020719006945?src=jobsearchDesk&sid=15692605182591&xp=42&px=1,"Data Science, Robot Programming, Machine Learning, Python",Data Science Trainer / Faculty,Naresh I Technologies,5-10 yrs,Hyderabad,"  Data Science, Robot Programming, Machine Learning, Python "," INR 2,50,000 - 5,00,000 PA.   ",  Phani K  ," Posted  by     Phani K    , Few Hours Ago ",Few Hours Ago
42,https://www.naukri.com/job-listings-Python-Developer-Grid-Logic-Software-Private-Limited-Hyderabad-1-to-5-years-270319500959?src=jobsearchDesk&sid=15692605182591&xp=43&px=1,"rest, development, gaming, technical, software, testing, mobile, it, SQL...",Python Developer,Grid Logic Software Private Limited,1-5 yrs,Hyderabad,"  rest, development, gaming, technical, software, testing, mobile, it, SQL... ",  Not disclosed  , , Posted     2 days ago ,2 days ago
43,https://www.naukri.com/job-listings-Senior-Devops-Engineer-Python-Kanary-Staffing-Pvt-Ltd-Hyderabad-7-to-10-years-180919902667?src=jobsearchDesk&sid=15692605182591&xp=44&px=1,"Jenkins, Unix, DevOps, Docker, Network Protocols, Shell Scripting, Ansible,...",Senior Devops Engineer - Python,Kanary Staffing Pvt. Ltd.,7-10 yrs,Hyderabad,"  Jenkins, Unix, DevOps, Docker, Network Protocols, Shell Scripting, Ansible,... ",  Not disclosed  ,  HR  ," Posted  by     HR    , 5 days ago ",5 days ago
44,https://www.naukri.com/job-listings-Python-Trainer-Faculty-Naresh-I-Technologies-Chennai-Hyderabad-3-to-8-years-280619004992?src=jobsearchDesk&sid=15692605182591&xp=45&px=1,python,Python Trainer / Faculty,Naresh I Technologies,3-8 yrs,"Chennai, Hyderabad",  python ," INR 3,00,000 - 6,00,000 PA.   ",  Phani K  ," Posted  by     Phani K    , Few Hours Ago ",Few Hours Ago
45,https://www.naukri.com/job-listings-Software-Developer-python-api-Integration-react-JS-For-Data-Science-Anna-IT-Services-Hyderabad-5-to-10-years-190919905143?src=jobsearchDesk&sid=15692605182591&xp=46&px=1,"Data Science, API Integration, Integration, API, React JS, Python",Software Developer(python/api Integration/react JS) For Data Science,Anna IT Services,5-10 yrs,Hyderabad,"  Data Science, API Integration, Integration, API, React JS, Python ",  Not disclosed  ,  HR  ," Posted  by     HR    , Today ",Today
46,https://www.naukri.com/job-listings-Python-Developer-Be-fe-For-Location-Hyderabad-with-a-Swedish-Client-GeekSoft-Consulting-Pvt-Ltd-Hyderabad-7-to-12-years-190919000140?src=jobsearchDesk&sid=15692605182591&xp=47&px=1,"Ubuntu, Rest, Stash, Linux, Django, MySQL, Javascript, Mariadb...",Python Developer Be/fe For Location Hyderabad with a Swedish Client,GeekSoft Consulting Pvt. Ltd.,7-12 yrs,Hyderabad,"  Ubuntu, Rest, Stash, Linux, Django, MySQL, Javascript, Mariadb... ",  Not disclosed  ,  Deepak Panirgahi  ," Posted  by     Deepak Panirgahi    , 4 days ago ",4 days ago
47,https://www.naukri.com/job-listings-Python-Developer-SENECAGLOBAL-IT-SERVICES-PRIVATE-LIMITED-Hyderabad-2-to-5-years-190919006016?src=jobsearchDesk&sid=15692605182591&xp=48&px=1,"python, django, postgresql, rest api, unit testing, flask, angularjs...",Python Developer,SENECAGLOBAL IT SERVICES PRIVATE LIMITED,2-5 yrs,Hyderabad,"  python, django, postgresql, rest api, unit testing, flask, angularjs... ",  Not disclosed  ,  Kartheek Mandavalli  ," Posted  by     Kartheek Mandavalli    , 4 days ago ",4 days ago
48,https://www.naukri.com/job-listings-Python-Developer-Hyderabad-IDC-TECHNOLOGIES-SOLUTIONS-INDIA-PVT-LIMITED-Hyderabad-5-to-8-years-190919002567?src=jobsearchDesk&sid=15692605182591&xp=49&px=1,"Django, Python",Python Developer || Hyderabad,IDC TECHNOLOGIES SOLUTIONS INDIA PVT LIMITED,5-8 yrs,Hyderabad,"  Django, Python "," INR 5,00,000 - 10,00,000 PA.   ",  Shilpa Sharma  ," Posted  by     Shilpa Sharma    , 4 days ago ",4 days ago
49,https://www.naukri.com/job-listings-Data-Science-Architect-Python-c-AlgonoX-Technologies-Hyderabad-4-to-9-years-190919906440?src=jobsearchDesk&sid=15692605182591&xp=50&px=1,"Database Architect, C++, NLP, Data Scientist, Machine Learning...",Data Science Architect - Python/c++,AlgonoX Technologies,4-9 yrs,Hyderabad,"  Database Architect, C++, NLP, Data Scientist, Machine Learning... ",  Not disclosed  ,  HR  ," Posted  by     HR    , Today ",Today
0,https://www.naukri.com/job-listings-Urgent-Requirement-For-Python-Developer-Position-V-Soft-Consulting-Corporation-Private-Limited-Chennai-Hyderabad-3-to-8-years-180919001697?src=jobsearchDesk&sid=15692605188310&xp=1&px=2,"Django, Automation Testing, Python",Urgent Requirement For Python Developer Position,V-Soft Consulting  Corporation Private Limited,3-8 yrs,"Chennai, Hyderabad","  Django, Automation Testing, Python ",  Not disclosed  ,  krishna  ," Posted  by     krishna    , 5 days ago ",5 days ago
